College Name,# appli. rec'd,# appl. accepted,# new stud. enrolled,% new stud. from top 10%,% new stud. from top 25%,# FT undergrad,# PT undergrad,in-state tuition,out-of-state tuition,room,board,add. fees,estim. book costs,estim. personal $,% fac. w/PHD,stud./fac. ratio,Graduation rate
Clarkson University,2174,1953,557,35,68,2332,53,15960,15960,2622,2958,323,700,1300,95,15.8,77
Colgate University,4856,2492,727,46,75,2649,25,19510,19510,2690,2875,145,500,750,95,10.5,93
Columbia University,6756,1930,871,78,96,3376,55,18624,18624,3740,2924,486,550,300,97,5.9,99
Barnard College,2496,1402,531,53,95,2121,69,17926,17926,4786,3338,720,600,850,83,10.3,91
Elmira College,1457,1045,345,27,50,1109,502,14990,14990,2860,2180,300,450,550,77,21.5,64
Hartwick College,2083,1725,430,22,49,1464,67,17480,17480,2250,2530,300,500,700,75,12.3,73
Hobart and William Smith Colleges,2688,2081,500,25,53,1792,5,19029,19029,2877,2964,431,600,600,99,12.1,79
Hofstra University,7428,5860,1349,25,63,6534,1350,11600,11600,3620,2300,650,1000,1000,81,13.9,60
Houghton College,949,786,302,30,70,1210,26,9990,9990,1850,1700,310,500,1500,85,15,67
Le Moyne College,1470,1199,425,21,76,1820,558,11040,11040,1950,2890,320,400,900,89,13.3,94
Manhattanville College,962,750,212,21,54,830,150,14700,14700,3600,2950,410,450,400,97,11.3,70
Marist College,4731,3171,830,12,31,3557,658,10700,10700,2400,3525,290,550,1200,74,17.6,69
Nyack College,460,283,160,15,34,508,34,7950,7950,1680,2130,450,600,1200,35,11.6,55
Pace University,8256,3750,1522,37,70,5809,4379,11100,11000,1340,3420,350,660,1115,90,13.8,62
Sarah Lawrence College,1380,768,263,57,82,1000,105,19300,19300,4816,1878,264,600,700,89,6.1,83
Skidmore College,4293,2728,591,25,62,2322,263,18710,18710,3170,2515,215,500,700,87,12.7,81
Siena College,2961,1932,628,24,68,2669,616,10800,10800,2120,2980,310,575,1090,71,14.1,100
St. Bonaventure University,1489,1313,375,13,45,1688,131,10456,10456,2312,2615,395,500,1050,91,17.7,78
St. John Fisher College,1368,1064,354,19,51,1687,677,10570,10570,3550,2050,190,400,800,86,14.5,66
St. Lawrence University,2753,1820,505,31,56,1801,45,18720,18720,2960,2770,420,650,825,90,11.5,85
SUNY at Albany,13528,9198,1843,16,61,10168,1231,2650,6550,2950,1405,295,700,1560,93,17.4,74
SUNY at Binghamton,14463,6166,1757,60,94,8544,671,2650,6550,2690,1908,360,700,1000,83,18,80
SUNY College at Brockport,7294,3564,904,7,34,5758,1363,2650,6550,2760,1700,315,500,705,79,19,49
SUNY College at Buffalo,5318,3515,1025,8,29,7626,2091,2650,6550,2680,1360,240,550,1230,71,18.7,42
SUNY College at Cortland,7888,3519,1036,6,40,5011,346,2650,6550,2680,2000,316,630,1274,82,17.8,53
SUNY College at Fredonia,4877,2798,814,13,48,4123,298,2650,6550,2500,1920,359,620,1481,82,16.3,66
SUNY College at Geneseo,8598,4562,1143,56,93,5060,146,2650,6550,2620,1550,433,600,650,79,19.1,76
SUNY College at New Paltz,8399,3609,656,19,53,4658,1478,2650,6550,1790,2450,271,550,1500,85,15.3,53
SUNY College at Oswego,8000,4556,1464,17,70,6943,869,2650,6550,2830,1980,311,500,1500,69,22,63
SUNY College at Plattsburgh,5549,3583,853,9,40,5004,475,2650,6550,2520,1656,309,600,1380,80,17.9,65
SUNY College at Potsdam,3150,2289,650,16,51,3598,234,2650,6840,2750,1910,240,500,1000,71,15.1,59
Syracuse University,10477,7260,2442,28,67,10142,117,15150,15150,3620,3250,360,635,960,73,11.3,67
Union College,3495,1712,528,49,84,1915,123,18732,18732,3297,2907,190,450,1024,94,11.5,88
University of Rochester,8766,5498,1243,56,75,5071,438,17840,17840,3978,2604,410,500,882,93,5.9,80
SUNY College at Purchase,2119,1264,390,5,33,2478,1441,2650,6550,2990,1770,367,1125,1362,80,14.9,46
Ashland University,1454,1267,424,20,41,1874,757,11431,11431,2467,2217,260,600,1700,43,17.4,66
Baldwin-Wallace College,1690,1366,662,30,61,2718,1460,10995,10995,2235,2175,585,1000,1000,68,17.6,85
Bowling Green State University,9251,7333,3076,14,45,13699,1213,3070,7452,1968,1384,660,600,1700,81,21.1,67
Case Western Reserve University,3877,3156,713,71,93,3051,513,15700,15700,2960,1770,125,525,1460,95,2.9,67
Cedarville College,1307,1090,616,25,55,2196,82,7344,7344,2370,2040,126,570,1000,50,15.3,64
College of Mount St. Joseph,798,620,238,14,41,1165,1232,9800,9800,2280,2150,50,400,1150,46,11.1,100
Franciscan University of Steubenville,553,452,228,22,49,1301,242,9650,9650,2200,2200,260,600,1000,57,14.9,83
Denison University,2762,2279,533,32,60,1835,14,16900,16900,2600,2120,820,500,600,88,11.6,81
Heidelberg College,738,687,241,20,44,964,242,13780,13780,2004,2406,198,500,500,68,12.5,65
Kenyon College,2212,1538,408,44,75,1445,1,19240,19240,1640,2050,610,750,480,95,11.1,88
Malone College,874,758,428,21,46,1605,246,9858,9858,2020,1680,135,450,1200,42,17.6,55
Marietta College,1611,960,342,27,60,1089,210,13850,13850,2020,1900,270,470,810,80,13.2,96
Mount Union College,1310,1086,458,26,61,1365,144,12250,12250,1400,2130,700,400,1150,85,16.7,81
Muskingum College,1109,922,375,24,46,1115,70,13240,13240,1634,2280,386,600,800,73,13.4,73
Oberlin College,4778,2767,678,50,89,2587,120,19670,19670,2920,2900,126,575,1119,77,10.1,83
Ohio University,11023,8298,3183,21,54,14861,1310,3552,7629,2013,2082,357,550,2300,79,20.4,64
Tiffin University,845,734,254,5,21,662,351,7600,7600,1800,2000,125,600,1200,59,19,39
University of Cincinnati,6855,5553,2408,26,57,11036,2011,3234,8907,2703,1994,498,556,1851,89,10.8,54
University of Dayton,6361,5293,1507,26,51,5889,665,11380,11380,2160,2060,450,500,900,81,14.8,93
Ursuline College,325,260,86,21,47,699,717,9600,9600,2270,1932,210,450,750,39,10.5,68
Wittenberg University,1979,1739,575,42,68,1980,144,15948,15948,2190,2214,822,400,800,82,12.8,78
Xavier University,1959,1805,695,24,47,2849,1107,11520,11520,2600,2360,10,600,1250,73,13.3,83
Miami University at Oxford,9239,7788,3290,35,39,13606,807,3740,8856,1860,2100,798,500,1382,81,17.6,85
Antioch University,713,661,252,25,44,712,23,15476,15476,1538,1798,1404,400,1100,69,11.3,48
Oklahoma Baptist University,758,681,484,35,59,1707,705,5390,5390,1350,1790,530,515,1290,63,15.1,50
Oklahoma Christian University,776,765,351,22,44,1419,228,6400,6400,1650,1500,280,500,1900,58,16.2,45
University of Sci. and Arts of Oklahoma,285,280,208,21,43,1140,473,1408,3687,640,1280,172,600,1800,67,23.6,43
Oklahoma State University,4522,3913,2181,29,57,12830,1658,1889,5336,1758,1588,40,800,3100,84,15.3,48
Oklahoma Panhandle State University,350,343,251,8,27,1117,117,1212,3274,1200,600,217,90,1800,58,18.1,29
Oral Roberts University,1223,650,632,13,37,2645,167,7950,7950,1744,2250,380,480,1000,51,15.5,45
George Fox College,809,726,294,27,52,1271,43,12500,12500,2080,2050,140,400,1050,53,13.5,52
Linfield College,1561,1188,458,48,72,1548,840,13380,13380,1880,2330,598,500,900,89,17.8,81
Pacific University,943,849,288,41,71,1041,35,14210,14210,1764,2230,225,450,1100,76,10.9,42
Reed College,1966,1436,327,47,80,1199,61,19960,19960,2690,2800,150,500,450,90,11.8,68
University of Portland,1758,1485,419,27,58,2041,174,12040,12040,1750,2350,80,600,1100,92,13.2,72
Albright College,1038,839,227,30,63,973,306,15595,15595,2400,2000,200,300,500,79,11.3,80
Allegheny College,2652,1900,484,44,77,1707,44,17080,17080,2280,2160,260,400,600,73,9.9,76
Bucknell University,6548,3813,862,49,85,3316,31,18550,18550,2545,2205,110,800,1200,95,14.2,93
Carnegie Mellon University,8728,5201,1191,60,89,4265,291,17900,17900,3520,2170,100,450,1250,86,9.2,74
Chatham College,212,197,91,28,56,471,148,13500,13500,2615,2615,150,400,850,95,9.3,52
College Misericordia,1432,888,317,29,58,1121,493,10860,10860,3090,2670,530,550,900,56,12.9,96
Dickinson College,3014,2539,487,31,68,1889,62,18700,18700,2600,2400,125,595,1250,87,11.2,87
Eastern College,458,369,165,16,42,1057,355,11190,11190,2260,2540,30,450,1230,60,13.6,54
Elizabethtown College,2417,1843,426,36,70,1476,299,14190,14190,2200,2200,400,500,750,65,12.8,81
Gannon University,2464,1908,678,24,57,2693,691,10970,10970,1940,2340,50,500,1380,47,13.3,65
Geneva College,668,534,237,19,39,1306,258,9476,9476,2800,2020,44,500,1100,67,20.1,74
Gettysburg College,3596,2466,575,42,78,1944,46,19964,19964,2180,2148,90,500,500,94,12.1,83
Juniata College,1005,859,298,36,55,1075,43,14850,14850,2250,2210,110,450,420,97,12.7,80
King's College,1456,1053,381,20,45,500,541,10910,10910,2410,2750,500,400,1795,66,15.6,87
Lafayette College,4010,2402,572,36,59,2018,226,18730,18730,3000,2740,75,600,1000,93,10.5,92
La Salle University,2929,1834,622,20,56,2738,1662,12600,12600,2510,3100,170,450,3160,90,15.1,84
Lehigh University,6397,4304,1092,40,84,4298,132,18700,18700,3160,2420,250,750,1130,96,12.5,91
Lincoln University,1660,1091,326,15,41,1196,33,3020,4818,1750,1650,375,350,1400,71,12.6,45
Marywood College,1107,859,323,13,51,1452,402,11040,11040,2250,2250,400,600,700,65,11.8,66
Messiah College,1742,1382,607,30,64,2258,53,10300,10300,2540,2540,84,475,1200,68,14.1,89
Moravian College,1232,955,303,23,58,1241,485,14990,14990,2130,2600,180,550,1250,86,15.2,74
Bloomsburg Univ. of Pennsylvania,6773,3028,1025,15,55,5847,946,3086,7844,1650,1298,608,500,1680,66,18,75
Millersville University of Penn.,6011,3075,960,22,60,5146,1532,3086,7844,2200,1630,834,450,1258,72,16.8,71
Shippensburg University of Penn.,5818,3281,1116,14,53,5268,300,3086,7844,1952,1552,770,450,1700,80,18.8,72
Philadelphia Coll. of Textiles and Sci.,1538,1259,468,19,42,1664,1042,11690,11690,2596,2466,40,600,1664,48,12.9,68
Seton Hill College,936,794,197,24,56,752,210,11240,11240,2090,2090,160,350,2000,71,11.2,71
Saint Vincent College,700,595,278,19,35,1035,182,10850,10850,2110,1826,60,500,900,62,12.3,88
Susquehanna University,2096,1512,465,27,59,1442,166,16130,16130,2490,2220,280,400,800,83,13.9,90
Temple University,7987,5145,2399,15,37,14726,4666,5314,10096,3492,1790,150,600,3324,87,11.2,45
Thiel College,1154,951,253,15,31,791,140,11172,11172,2590,2368,230,700,1350,68,11.6,60
University of Pennsylvania,12394,5232,2464,85,100,9205,531,17020,17020,3700,3570,1836,500,1544,95,6.3,93
University of Pittsburgh-Main Campus,8586,6383,2503,25,59,13138,4289,4962,10786,2760,1800,454,400,900,93,7.8,66
University of Scranton,4471,2942,910,29,60,3674,493,11584,11584,2536,3450,975,650,800,83,14.1,92
Villanova University,7759,5588,1477,30,68,6362,1292,15925,15925,3170,3337,445,400,300,89,13.4,96
Washington and Jefferson College,1305,1100,334,42,64,1098,151,16260,16260,2070,1935,280,300,500,91,12.1,86
Waynesburg College,1190,978,324,12,30,1280,61,8840,8840,1800,1820,220,500,1200,57,16.2,63
Westminster College PA,996,866,377,29,58,1411,72,12065,12065,1980,1635,595,430,685,62,12.5,80
Wilkes University,1631,1431,434,15,36,1803,603,11150,11150,3100,2030,418,550,1260,78,13.3,67
York College of Pennsylvania,2989,1855,691,28,63,2988,1726,4990,4990,1725,1835,225,500,1250,75,18.1,99
Allentown Coll. of St. Francis de Sales,1179,780,290,38,64,1130,638,9690,9690,2495,2290,60,600,1000,60,13.3,74
La Roche College,361,321,185,10,41,650,819,8842,8842,2862,1920,140,600,1100,57,14.2,52
Pennsylvania State Univ. Main Campus,19315,10344,3450,48,93,28938,2025,4966,10645,1840,2220,70,512,2394,77,18.1,63
Brown University,12586,3239,1462,87,95,5643,349,19528,19528,3574,2352,650,720,1100,99,7.6,97
Providence College,5139,3346,973,20,55,3717,1358,14400,14400,3250,2950,375,450,1100,66,18.4,96
University of Rhode Island,9643,7751,1968,12,40,8894,2456,3004,10330,3168,2390,1238,500,1250,84,16.6,63
Roger Williams University,3304,2804,679,10,20,2111,1489,12520,12520,3060,2990,480,500,730,44,16.4,61
Central Wesleyan College,174,146,88,8,29,1047,33,8300,8300,1000,2080,200,600,600,62,15.2,58
The Citadel,1500,1242,611,12,36,2024,292,3076,7070,830,1609,264,400,779,95,17.1,84
Claflin College,1196,697,499,21,47,959,13,4412,4412,1000,1460,600,500,1000,69,16.9,21
Coker College,604,452,295,15,47,690,222,9888,9888,1846,2670,185,400,1000,64,12.1,75
Erskine College,659,557,167,47,74,532,35,10485,10485,1760,2080,660,475,1246,76,13.5,67
Furman University,2161,1951,685,56,82,2371,175,13440,13440,2096,1952,134,600,1250,92,13.5,82
Lander University,1166,1009,510,9,33,2074,341,3340,4938,1867,1120,50,528,1702,67,17,51
Newberry College,872,722,154,14,36,601,36,10194,10194,1600,1000,300,500,1500,57,11.4,83
Presbyterian College,1082,832,302,34,63,1133,30,11859,11859,1711,1924,892,554,1429,80,13.4,85
Augustana College SD,761,725,306,21,58,1337,300,10990,10990,1622,1622,125,600,1021,66,10.4,69
Huron University,600,197,124,3,9,392,69,7260,7260,1910,1180,330,600,1840,31,12.9,21
Northern State University,2056,2054,2054,10,40,2239,686,1411,3437,1128,1074,832,550,1925,68,20.2,54
South Dakota State University,2807,2589,1701,13,37,7000,1103,1454,3811,1120,1070,1024,500,1970,62,15,67
Belmont University,1220,974,481,28,67,1964,623,7800,7800,1974,1690,250,650,900,61,11.1,49
Carson-Newman College,1096,951,464,27,62,1776,239,8150,8150,1260,1890,450,400,500,61,13.6,67
Christian Brothers University,880,520,224,16,42,1068,364,9300,9300,1350,1910,120,600,900,81,11.1,63
Freed-Hardeman University,895,548,314,20,54,1174,50,5500,5500,1590,1750,770,600,1600,68,16.1,62
King College,355,300,142,34,65,509,44,8664,8664,1630,1720,700,600,3000,65,10.7,65
Lambuth University,831,538,224,15,35,840,325,5170,5170,1400,2030,210,600,1590,61,16.1,60
Lincoln Memorial University,787,562,363,21,55,925,605,5950,5950,1200,1690,120,600,1300,67,14.6,53
Maryville College,1464,888,176,26,52,624,128,11200,11200,1998,2210,150,500,1642,80,11.1,51
Milligan College,610,461,189,26,52,685,49,8200,8200,1600,1700,200,550,1000,63,12,64
Rhodes College,2302,1831,391,58,82,1345,59,15200,15200,2696,2072,158,550,1500,90,10.8,77
Tennessee Wesleyan College,232,182,99,7,29,402,237,7070,7070,2140,1500,150,400,3158,59,8.9,36
Trevecca Nazarene College,272,272,145,13,50,770,213,4750,4750,1870,1400,320,500,800,57,14,49
University of Tennessee at Knoxville,7473,5372,3013,27,53,15749,3237,1830,5764,1584,1678,222,750,3300,86,16.5,53
University of the South,1445,966,326,46,83,1129,24,15350,15350,2010,2070,175,450,810,89,10.3,82
Vanderbilt University,7791,4690,1499,71,92,5500,90,17865,17865,4132,2393,964,630,952,93,5.8,83
Angelo State University,3540,2001,1016,24,54,4190,1512,840,5130,1324,2268,734,500,2000,60,23.1,34
East Texas Baptist University,379,341,265,10,36,1050,151,4950,4950,1040,1740,470,530,1500,62,15.7,38
Hardin-Simmons University,467,424,350,16,40,1365,334,6300,6300,1360,1620,480,700,2140,75,13.7,38
Incarnate Word College,1163,927,386,16,49,1685,556,8840,8840,2049,2640,110,750,2775,67,11.4,95
Lamar University,2336,1725,1043,10,27,5438,4058,864,4752,1386,1654,840,508,1463,48,18.4,26
University of North Texas,4418,2737,2049,23,51,14047,5134,672,4104,1840,1739,650,450,1700,86,22.6,35
Our Lady of the Lake University,2308,1336,295,22,46,1202,942,8530,8530,2020,1624,134,616,1576,56,14.9,37
Schreiner College,584,413,131,19,51,521,99,8955,8955,2810,3090,40,500,1488,51,11.8,52
Southwestern Adventist College,321,318,172,11,27,620,280,7536,7536,1494,2242,80,430,1651,44,13,36
Prairie View A. and M. University,2405,2234,1061,10,22,4564,448,840,4290,1580,1920,820,598,1582,55,19.4,35
Texas Christian University,4095,3079,1195,33,64,5064,660,8490,8490,1920,1400,990,650,2400,81,14.8,64
Texas College,254,189,189,15,26,503,40,3605,3605,1580,850,455,300,300,37,18.4,26
Texas Lutheran College,497,423,215,27,57,895,429,7850,7850,1490,1920,50,490,1700,54,13.8,50
Trinity University,2425,1818,601,62,93,2110,95,12240,12240,3225,1925,140,500,490,94,9.6,93
University of Dallas,681,588,246,44,74,1058,73,10760,10760,4030,2200,50,500,1200,85,13.4,63
University of St. Thomas TX,374,280,185,45,77,995,408,8550,8550,2000,1670,96,500,1344,75,12.6,62
University of Texas at Austin,14752,9572,5329,48,85,30017,5189,840,5130,1733,1576,1068,650,3140,91,19.7,65
Baylor University,6075,5349,2367,34,66,9919,484,6450,6450,2230,1690,570,600,1346,71,18.5,72
Texas A&M University at Galveston,529,481,243,22,47,1206,134,780,4860,1560,1562,320,600,650,103,17.4,43
Texas A&M Univ. at College Station,14474,10519,6392,49,85,31643,2798,840,5130,1772,1640,751,600,2144,89,23.1,69
University of Utah,5095,4491,2400,27,53,13894,8374,1954,6857,1550,2425,427,858,3093,89,12.8,37
Westminster College of Salt Lake City,917,720,213,21,60,979,743,8820,8820,1340,2710,60,600,2025,68,10.5,50
Bridgewater College,838,673,292,22,53,881,55,10265,10265,2215,2510,1000,560,875,68,13.2,82
College of William and Mary,7117,3106,1217,68,88,5186,134,2808,11720,2318,1980,1748,600,800,89,12.1,93
Emory & Henry College,765,646,226,30,60,809,32,8578,8578,1920,2488,622,700,1600,79,13.9,82
Hampden - Sydney College,817,644,307,20,40,945,1,13218,13218,1903,2870,415,660,600,95,13.3,69
Hampton University,7178,3755,1433,25,63,4623,740,7161,7161,1838,1680,603,600,2000,60,14,70
Hollins College,602,498,215,26,58,795,74,13470,13470,3225,2290,234,500,850,78,11.1,72
Lynchburg College,1756,1500,366,3,21,1524,280,12450,12450,2900,2500,100,450,870,62,12.4,70
Randolph-Macon College,1771,1325,306,21,46,1071,27,13840,13840,1850,1885,325,400,900,77,10.7,74
Virginia Commonwealth University,4963,3497,1567,18,45,10262,5065,3034,10217,1620,2562,880,500,3630,81,8.7,45
Mary Washington College,4350,2178,756,39,78,2997,736,2026,6490,2712,2230,1180,650,2102,75,17.6,84
George Mason University,5653,4326,1727,17,29,9528,3822,4044,10800,3150,1690,25,580,1050,93,19.3,46
Virginia State University,2996,2440,704,2,30,3006,338,1894,5587,2750,2095,1305,500,600,61,16,31
Virginia Wesleyan College,1470,900,287,20,49,1130,417,10900,10900,2800,2300,150,500,550,70,15.7,68
Washington and Lee University,3315,1096,425,68,93,1584,3,13750,13750,2019,2600,355,680,1115,81,9.6,90
University of Virginia,15849,5384,2678,74,95,11278,114,3724,12212,1816,1976,756,500,1000,90,9.5,95
Castleton State College,1257,940,363,9,22,1547,294,3660,7656,2598,2092,570,400,700,89,14.7,79
Johnson State College,833,669,279,3,13,1224,345,3312,7656,2598,2092,585,500,624,80,14.4,36
Lyndon State College,535,502,223,6,20,959,150,3168,7320,2092,2548,826,500,600,48,12.6,51
Southern Vermont College,520,204,108,11,27,418,279,8940,8940,2324,2190,480,500,1150,28,13.4,57
Saint Michael's College,1910,1380,463,16,64,1715,106,13030,13030,2310,3550,135,500,750,79,14.5,84
Trinity College VT,222,185,91,16,41,484,541,11010,11010,3084,2124,260,550,500,58,10.4,78
University of Vermont,7663,6008,1735,18,51,7353,1674,6210,15516,3148,1780,442,500,990,87,9.9,79
Seattle University,2115,1540,494,28,72,2993,347,12825,12825,1150,3225,100,500,1500,85,12.2,89
Whitman College,1861,998,359,45,77,1220,46,16670,16670,2650,2250,155,750,800,80,10.5,72
Beloit College,1320,923,284,26,54,1085,81,16304,16304,1748,1868,170,355,715,87,11.1,69
Carroll College,1160,991,352,19,55,1357,737,12200,12200,1990,1890,110,480,930,74,17.8,79
Lawrence University,1243,947,324,50,77,1129,74,17163,17163,1812,2079,290,525,975,76,10.1,77
Ripon College,587,501,211,28,52,735,28,15200,15200,1840,2260,190,350,650,87,9.4,64
St. Norbert College,1334,1243,568,30,56,1946,95,12140,12140,2355,2095,75,425,1100,74,15.1,88
Viterbo College,647,518,271,17,43,1014,387,9140,9140,1590,1815,70,500,2245,51,10.7,73
University of Wisconsin-Stout,2593,1966,1030,9,32,6038,579,1916,6704,1404,1188,400,376,1750,78,21,65
Univ. of Wisconsin at Eau Claire,5729,4520,1957,20,52,8516,1264,2208,6996,1565,1140,1070,279,1260,80,19.3,61
Wisconsin Lutheran College,152,128,75,17,41,282,22,9100,9100,1800,1900,90,500,1400,48,8.5,50
Alderson-Broaddus College,582,498,172,21,44,799,78,10468,10468,1574,1806,92,660,1800,40,11.5,52
Marshall University,4226,3666,2007,14,60,7703,2339,1660,5094,2030,1980,330,700,1560,77,16.6,50
University of Wyoming,2029,1516,1073,23,46,7535,1488,1908,5988,1462,1960,300,600,1500,91,15.1,45
